ID,Language_ID,Parameter_ID,Lemma_ID,Gloss_ID,Tag_ID,Form,Segments,Comment,Source
0,1,0,1,,0,ab,a b,,
1,2,0,,,,ap,a p,,
2,1,1,2,,1,abduːcoː,a b d uː c oː,,
3,1,1,2,,2,abduːcit,a b d uː c i t,,
4,2,1,,,,abdoukoː,a b d ou k oː,,
5,2,1,,,,abdouketi,a b d ou k e t i,,
6,1,2,3,,3,abieːs,a b i eː s,,
7,1,2,3,,4,abietis,a b i e t i s,,
8,2,2,,,,abjets,a b j e t s,,
9,2,2,,,,abjetes,a b j e t e s,,
10,1,3,1,,0,abs,a b s,,
11,2,3,,,,aps,a p s,,
12,1,4,4,0,5,accipiter,a c c i p i t e r,,
13,1,4,4,0,6,accipitris,a c c i p i t r i s,,
14,2,4,,0,,akupetris,a k u p e t r i s,,
15,2,4,,0,,akupetres,a k u p e t r e s,,
16,1,5,5,,7,aceoː,a c e oː,,
17,1,5,5,,8,acet,a c e t,,
18,2,5,,,,akeːjoː,a k eː j oː,,
19,2,5,,,,akeːjeti,a k eː j e t i,,
20,1,6,6,,9,acerbus,a c e r b u s,,
21,1,6,6,,10,acerbiː,a c e r b iː,,
22,2,6,,,,akriðos,a k r i ð o s,,
23,2,6,,,,akriðiː,a k r i ð iː,,
24,1,7,7,,11,acus,a c u s,,
25,1,7,7,,12,acuːs,a c uː s,,
26,2,7,,,,akus,a k u s,,
27,2,7,,,,akuos,a k u o s,,
28,1,8,8,,13,acus,a c u s,,
29,1,8,8,,14,aceris,a c e r i s,,
30,2,8,,,,akos,a k o s,,
31,2,8,,,,akezes,a k e z e s,,
32,1,9,9,,0,ad,a d,,
33,2,9,,,,ad,a d,,
34,1,10,10,1,13,ador,a d o r,,
35,1,10,10,1,14,adoris,a d o r i s,,
36,2,10,,1,,ados,a d o s,,
37,2,10,,1,,adoːs,a d oː s,,
38,2,10,,1,,adoses,a d o s e s,,
39,2,10,,1,,adoːses,a d oː s e s,,
40,1,11,11,,1,advertoː,a d v e r t oː,,
41,1,11,11,,2,advertit,a d v e r t i t,,
42,2,11,,,,adwertoː,a d w e r t oː,,
43,2,11,,,,adwerteti,a d w e r t e t i,,
44,1,12,12,2,3,aedis,ae d i s,,
45,1,12,12,2,4,aedis,ae d i s,,
46,2,12,,2,,aiðes,ai ð e s,,
47,2,12,,2,,aiðes,ai ð e s,,
48,1,13,13,,5,aediːlis,ae d iː l i s,,
49,1,13,13,,6,aediːlis,ae d iː l i s,,
50,2,13,,,,aiðiːlis,ai ð iː l i s,,
51,2,13,,,,aiðiːles,ai ð iː l e s,,
52,1,14,14,,9,aeger,ae g e r,,
53,1,14,14,,10,aegriː,ae g r iː,,
54,2,14,,,,aigros,ai g r o s,,
55,2,14,,,,aigriː,ai g r iː,,
56,1,15,15,,9,aemulus,ae m u l u s,,
57,1,15,15,,10,aemuliː,ae m u l iː,,
58,2,15,,,,aimelos,ai m e l o s,,
59,2,15,,,,aimeliː,ai m e l iː,,
60,1,16,16,,9,aequus,ae qu u s,,
61,1,16,16,,10,aequiː,ae qu iː,,
62,2,16,,,,aikʷos,ai kʷ o s,,
63,2,16,,,,aikʷiː,ai kʷ iː,,
64,1,17,17,,13,aes,ae s,,
65,1,17,17,,14,aeris,ae r i s,,
66,2,17,,,,ajos,a j o s,,
67,2,17,,,,ajezes,a j e z e s,,
68,1,18,18,3,3,aestaːs,ae s t aː s,,
69,1,18,18,3,4,aestaːtis,ae s t aː t i s,,
70,2,18,,3,,aissaːts,ai s s aː t s,,
71,2,18,,3,,aissaːtes,ai s s aː t e s,,
72,1,19,19,4,15,aestus,ae s t u s,,
73,1,19,19,4,16,aestuːs,ae s t uː s,,
74,2,19,,4,,aissus,ai s s u s,,
75,2,19,,4,,aisswos,ai s s w o s,,
76,1,20,20,,3,aetaːs,ae t aː s,,
77,1,20,20,,4,aetaːtis,ae t aː t i s,,
78,2,20,,,,aiwotaːts,ai w o t aː t s,,
