ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1511,1511,744,,,deVaan2008
1512,1512,745,,,wiktionary2017
1513,1514,745,,,wiktionary2017
1514,1513,746,,,wiktionary2017
1515,1515,746,,,wiktionary2017
1516,1516,747,,,wiktionary2017
1517,1518,747,,,wiktionary2017
1518,1517,748,,,wiktionary2017
1519,1519,748,,,wiktionary2017
1520,1520,749,,,wiktionary2017
1521,1522,749,,,wiktionary2017
1522,1521,750,,,wiktionary2017
1523,1523,750,,,wiktionary2017
1524,1524,751,,,wiktionary2017
1525,1526,751,,,wiktionary2017
1526,1525,752,,,wiktionary2017
1527,1527,752,,,wiktionary2017
1528,1528,753,,,wiktionary2017
1529,1530,753,,,wiktionary2017
1530,1529,754,,,wiktionary2017
1531,1531,754,,,wiktionary2017
1532,1532,755,,,wiktionary2017
1533,1534,755,,,wiktionary2017
1534,1533,756,,,wiktionary2017
1535,1535,756,,,wiktionary2017
1536,1536,757,,,deVaan2008
1537,1538,757,,,deVaan2008
1538,1537,758,,,deVaan2008
1539,1539,758,,,deVaan2008
1540,1540,759,,,wiktionary2017
1541,1542,759,,,wiktionary2017
1542,1541,760,,,wiktionary2017
1543,1543,760,,,wiktionary2017
1544,1544,761,,,wiktionary2017
1545,1546,761,,,wiktionary2017
1546,1545,762,,,wiktionary2017
1547,1547,762,,,wiktionary2017
1548,1548,763,,,wiktionary2017
1549,1550,763,,,wiktionary2017
1550,1549,764,,,wiktionary2017
1551,1551,764,,,wiktionary2017
1552,1552,765,,,wiktionary2017
1553,1554,765,,,wiktionary2017
1554,1553,766,,,wiktionary2017
1555,1555,766,,,wiktionary2017
1556,1556,767,,,wiktionary2017
1557,1558,767,,,wiktionary2017
1558,1557,768,,,wiktionary2017
1559,1559,768,,,wiktionary2017
1560,1560,769,,,deVaan2008
1561,1562,769,,,deVaan2008
1562,1561,770,,,deVaan2008
1563,1563,770,,,deVaan2008
1564,1564,771,,,wiktionary2017
1565,1566,771,,,wiktionary2017
1566,1565,772,,,wiktionary2017
1567,1567,772,,,wiktionary2017
1568,1568,773,,,deVaan2008
1569,1570,773,,,deVaan2008
1570,1569,774,,,deVaan2008
1571,1571,774,,,deVaan2008
1572,1572,775,,,wiktionary2017
1573,1574,775,,,wiktionary2017
1574,1573,776,,,wiktionary2017
1575,1575,776,,,wiktionary2017
1576,1576,777,,,deVaan2008
1577,1578,777,,,deVaan2008
1578,1577,778,,,deVaan2008
1579,1579,778,,,deVaan2008
1580,1580,779,,,deVaan2008
1581,1582,779,,,deVaan2008
1582,1581,780,,,deVaan2008
1583,1583,780,,,deVaan2008
1584,1584,781,,,wiktionary2017
1585,1586,781,,,wiktionary2017
1586,1585,782,,,wiktionary2017
1587,1587,782,,,wiktionary2017
1588,1588,783,,,wiktionary2017
1589,1590,783,,,wiktionary2017
1590,1589,784,,,wiktionary2017
1591,1591,784,,,wiktionary2017
1592,1592,785,,,wiktionary2017
1593,1594,785,,,wiktionary2017
1594,1593,786,,,wiktionary2017
1595,1595,786,,,wiktionary2017
1596,1596,787,,,wiktionary2017
1597,1598,787,,,wiktionary2017
1598,1597,788,,,wiktionary2017
1599,1599,788,,,wiktionary2017
1600,1600,789,,,wiktionary2017
1601,1602,789,,,wiktionary2017
1602,1601,790,,,wiktionary2017
1603,1603,790,,,wiktionary2017
1604,1604,791,,,wiktionary2017
1605,1606,791,,,wiktionary2017
1606,1605,792,,,wiktionary2017
1607,1607,792,,,wiktionary2017
1608,1608,793,,,wiktionary2017
1609,1610,793,,,wiktionary2017
1610,1609,794,,,wiktionary2017
1611,1611,794,,,wiktionary2017
1612,1612,795,,,wiktionary2017
1613,1614,795,,,wiktionary2017
1614,1613,796,,,wiktionary2017
1615,1615,796,,,wiktionary2017
1616,1616,797,,,deVaan2008
1617,1618,797,,,deVaan2008
1618,1617,798,,,deVaan2008
1619,1619,798,,,deVaan2008
1620,1620,799,,,deVaan2008
1621,1622,799,,,deVaan2008
1622,1621,800,,,deVaan2008
1623,1623,800,,,deVaan2008
1624,1624,801,,,wiktionary2017
1625,1626,801,,,wiktionary2017
1626,1625,802,,,wiktionary2017
1627,1627,802,,,wiktionary2017
1628,1628,803,,,deVaan2008
1629,1630,803,,,deVaan2008
1630,1629,804,,,deVaan2008
1631,1631,804,,,deVaan2008
1632,1632,805,,,deVaan2008
1633,1634,805,,,deVaan2008
1634,1633,806,,,deVaan2008
1635,1635,806,,,deVaan2008
1636,1636,807,,,wiktionary2017
1637,1638,807,,,wiktionary2017
1638,1637,808,,,wiktionary2017
1639,1639,808,,,wiktionary2017
1640,1640,809,,,wiktionary2017
1641,1642,809,,,wiktionary2017
1642,1641,810,,,wiktionary2017
1643,1643,810,,,wiktionary2017
1644,1644,811,,,deVaan2008
1645,1646,811,,,deVaan2008
1646,1645,812,,,deVaan2008
1647,1647,812,,,deVaan2008
1648,1648,813,,,wiktionary2017
1649,1650,813,,,wiktionary2017
1650,1649,814,,,wiktionary2017
1651,1651,814,,,wiktionary2017
1652,1652,815,,,wiktionary2017
1653,1654,815,,,wiktionary2017
1654,1653,816,,,wiktionary2017
1655,1655,816,,,wiktionary2017
1656,1656,817,,,wiktionary2017
1657,1658,817,,,wiktionary2017
1658,1657,818,,,wiktionary2017
1659,1659,818,,,wiktionary2017
1660,1660,819,,,wiktionary2017
1661,1662,819,,,wiktionary2017
1662,1661,820,,,wiktionary2017
1663,1663,820,,,wiktionary2017
1664,1664,821,,,deVaan2008
1665,1666,821,,,deVaan2008
1666,1665,822,,,deVaan2008
1667,1667,822,,,deVaan2008
1668,1668,823,,,wiktionary2017
1669,1670,823,,,wiktionary2017
1670,1669,824,,,wiktionary2017
1671,1671,824,,,wiktionary2017
1672,1672,825,,,wiktionary2017
1673,1674,825,,,wiktionary2017
1674,1673,826,,,wiktionary2017
1675,1675,826,,,wiktionary2017
1676,1676,827,,,deVaan2008
1677,1678,827,,,deVaan2008
1678,1677,828,,,deVaan2008
1679,1679,828,,,deVaan2008
1680,1680,829,,,deVaan2008
1681,1682,829,,,deVaan2008
1682,1681,830,,,deVaan2008
1683,1683,830,,,deVaan2008
1684,1684,831,,,wiktionary2017
1685,1686,831,,,wiktionary2017
