ID,Name
489,iaceo
490,iacio
491,iam
492,ianus
493,ibi
494,iecur
495,ieiento
496,ieiunus
497,ignarus
498,ignoro
499,ignis
500,illuc
501,illustris
502,imago
503,imber
504,imbuo
505,immitto
506,imperfectus
507,in
508,incido1
509,incido2
510,incile
511,incolo
512,indigenus
513,indiges
514,indulgeo
515,ineptus
516,inermis
517,iners
518,inertia
519,infestus
520,ingens
521,ingenuus
522,inguen
523,inimicus
524,instigo
525,integer
526,interpres
527,inter
528,intestinus
529,invito
530,invitus
531,iocus
532,irritus
533,irrito
534,is
535,iter
536,itus
537,iubar
538,iubeo
539,iuba
540,iugum
541,iugus
542,iuncus
543,iungo
544,iustus
545,iuvencus
546,iuvenis
547,iuventa
548,iuvo
549,iudex
550,iugis
551,iuglans
552,iumentum
553,iurgo
554,iuro
555,ius1
556,ius2
557,iuxta
558,ico
559,idem
560,infectus1
561,infectus2
562,inferus
563,inficio
564,instruo
565,insequor
566,instauro
567,insula
568,ira
569,labium
570,labo
571,labor
572,lac
573,lacer
574,lacrima
575,lacus
576,lacio
577,laesus
578,laevus
579,lambo
580,langueo
581,lapis
582,lanius
583,lassus
584,lateo
585,laus
586,labrum
587,lavo
588,lax
589,laxus
590,lamentum
591,lana
592,latus
593,lego
594,levis1
595,lenis
596,levir
597,levis2
598,liber1
599,libeo
600,lignum
601,lingua
602,lino
603,linquo
604,liqueo
605,liber2
606,libertus
607,libra
608,libum
609,limus1
610,limus2
611,linum
612,lira
613,lis
614,littera
615,litus
616,liveo
617,loco
618,locus
619,longus
620,loquax
621,loquor
622,lucrum
623,lumbus
624,lupus
625,luscus
626,lutra
627,lutum
628,luxus
629,lubricus
630,luceo
631,lucus
632,luctor
633,ludo
634,ludus
635,lugeo
636,luna
637,luo
638,lustrum
639,macer
640,macula
641,mactus
642,madeo
643,maereo
644,magis
645,magister
646,magnus
647,malleus
648,malignus
649,malus1
650,manceps
651,mando
652,maneo
653,mantelum
654,manus
655,matea
656,marceo
657,marculus
658,margo
659,mare
660,maritus
661,macero
662,mala
663,malus2
664,mano
665,mas
666,mater
667,matrix
668,maturus
669,medeor
670,medius
671,medulla
672,mel
673,membrum
674,memini
675,memor
676,mentior
677,mentum
678,merda
679,mereo
680,mergo
681,merula
682,merx
683,meto
684,meus
685,meio
686,mens
687,mensa
688,mensis
689,meta
690,migro
691,mihi
692,milium
693,minae
694,mingo
695,minister
696,parvus
697,minuo
698,misceo
699,miser
700,mitto
701,mica
702,mille
703,mirus
704,mitis
705,modus
706,moenia
707,mola
708,mollis
709,molluscus
710,molo
711,moneo
712,mora
713,morbus
714,mordeo
715,morior
716,mors
717,moveo
718,mobilis
719,momentum
720,mons
721,monstrum
722,mos
723,mulgeo
724,muliebris
725,mulier
726,mulleus
727,multus
728,mundus
729,murmuro
730,musca
731,mucus
732,mulus
733,munus
734,murus
735,muscus
736,mutus
737,mutuus
738,nanciscor
739,narro
740,nauta
741,nas
742,nativus
743,navis
744,nebula
745,nemus
746,neo
747,nepos
748,nex
749,ningo
750,nix
751,nidor
752,nidus
753,nitor
754,noceo
755,noster
756,novacula
757,novo
758,novus
759,nox
760,no
761,nomen
762,nos
763,nosco
764,numerus
765,nurus
766,nux
767,nubes
768,nudus
769,nullus
770,nutrio
771,nutrix
772,nuntius
773,ob
774,obscurus
775,obsidium
776,occa
777,occulo
778,octavus
779,octo
780,ocris
781,oculus
782,odor
783,officio
784,officium
785,oleo
786,olo
787,olor
788,omnis
789,onus
790,oppidum
791,opacus
792,operio
793,oporto
794,ops
795,opto
796,opus
797,orbis
798,orbus
799,orior
800,os1
801,ovis
802,odi
